,Year,City,Type of structure,Type of unit,Rent Price
121055,2022,Temiskaming Shores,Row structures of three units and over,Three bedroom units,0.0
121056,2022,Temiskaming Shores,Apartment structures of three units and over,Bachelor units,0.0
121057,2022,Temiskaming Shores,Apartment structures of three units and over,One bedroom units,0.0
121058,2022,Temiskaming Shores,Apartment structures of three units and over,Two bedroom units,0.0
121059,2022,Temiskaming Shores,Apartment structures of three units and over,Three bedroom units,0.0
121060,2022,Temiskaming Shores,Apartment structures of six units and over,Bachelor units,0.0
121061,2022,Temiskaming Shores,Apartment structures of six units and over,One bedroom units,0.0
121062,2022,Temiskaming Shores,Apartment structures of six units and over,Two bedroom units,0.0
121063,2022,Temiskaming Shores,Apartment structures of six units and over,Three bedroom units,0.0
121080,2022,Thunder Bay,Row and apartment structures of three units and over,Bachelor units,757.0
121081,2022,Thunder Bay,Row and apartment structures of three units and over,One bedroom units,963.0
121082,2022,Thunder Bay,Row and apartment structures of three units and over,Two bedroom units,1173.0
121083,2022,Thunder Bay,Row and apartment structures of three units and over,Three bedroom units,1372.0
121086,2022,Thunder Bay,Row structures of three units and over,Two bedroom units,1125.0
121087,2022,Thunder Bay,Row structures of three units and over,Three bedroom units,1239.0
121088,2022,Thunder Bay,Apartment structures of three units and over,Bachelor units,757.0
121089,2022,Thunder Bay,Apartment structures of three units and over,One bedroom units,964.0
121090,2022,Thunder Bay,Apartment structures of three units and over,Two bedroom units,1175.0
121091,2022,Thunder Bay,Apartment structures of three units and over,Three bedroom units,1527.0
121092,2022,Thunder Bay,Apartment structures of six units and over,Bachelor units,768.0
121093,2022,Thunder Bay,Apartment structures of six units and over,One bedroom units,991.0
121094,2022,Thunder Bay,Apartment structures of six units and over,Two bedroom units,1179.0
121095,2022,Thunder Bay,Apartment structures of six units and over,Three bedroom units,1539.0
121096,2022,Tillsonburg,Row and apartment structures of three units and over,Bachelor units,937.0
121097,2022,Tillsonburg,Row and apartment structures of three units and over,One bedroom units,978.0
121098,2022,Tillsonburg,Row and apartment structures of three units and over,Two bedroom units,1138.0
121104,2022,Tillsonburg,Apartment structures of three units and over,Bachelor units,937.0
121105,2022,Tillsonburg,Apartment structures of three units and over,One bedroom units,978.0
121106,2022,Tillsonburg,Apartment structures of three units and over,Two bedroom units,1138.0
121108,2022,Tillsonburg,Apartment structures of six units and over,Bachelor units,937.0
121109,2022,Tillsonburg,Apartment structures of six units and over,One bedroom units,1030.0
121110,2022,Tillsonburg,Apartment structures of six units and over,Two bedroom units,1148.0
121112,2022,Timmins,Row and apartment structures of three units and over,Bachelor units,570.0
121113,2022,Timmins,Row and apartment structures of three units and over,One bedroom units,942.0
121114,2022,Timmins,Row and apartment structures of three units and over,Two bedroom units,1070.0
121115,2022,Timmins,Row and apartment structures of three units and over,Three bedroom units,1245.0
121118,2022,Timmins,Row structures of three units and over,Two bedroom units,1143.0
121120,2022,Timmins,Apartment structures of three units and over,Bachelor units,570.0
121121,2022,Timmins,Apartment structures of three units and over,One bedroom units,944.0
121122,2022,Timmins,Apartment structures of three units and over,Two bedroom units,1062.0
121123,2022,Timmins,Apartment structures of three units and over,Three bedroom units,1120.0
121124,2022,Timmins,Apartment structures of six units and over,Bachelor units,612.0
121125,2022,Timmins,Apartment structures of six units and over,One bedroom units,1030.0
121126,2022,Timmins,Apartment structures of six units and over,Two bedroom units,1103.0
121127,2022,Timmins,Apartment structures of six units and over,Three bedroom units,1270.0
121128,2022,Toronto,Row and apartment structures of three units and over,Bachelor units,1305.0
121129,2022,Toronto,Row and apartment structures of three units and over,One bedroom units,1526.0
121130,2022,Toronto,Row and apartment structures of three units and over,Two bedroom units,1779.0
121131,2022,Toronto,Row and apartment structures of three units and over,Three bedroom units,2015.0
121133,2022,Toronto,Row structures of three units and over,One bedroom units,1495.0
121134,2022,Toronto,Row structures of three units and over,Two bedroom units,1748.0
121135,2022,Toronto,Row structures of three units and over,Three bedroom units,1908.0
121136,2022,Toronto,Apartment structures of three units and over,Bachelor units,1305.0
121137,2022,Toronto,Apartment structures of three units and over,One bedroom units,1526.0
121138,2022,Toronto,Apartment structures of three units and over,Two bedroom units,1779.0
121139,2022,Toronto,Apartment structures of three units and over,Three bedroom units,2038.0
121140,2022,Toronto,Apartment structures of six units and over,Bachelor units,1311.0
121141,2022,Toronto,Apartment structures of six units and over,One bedroom units,1529.0
121142,2022,Toronto,Apartment structures of six units and over,Two bedroom units,1780.0
121143,2022,Toronto,Apartment structures of six units and over,Three bedroom units,2034.0
121193,2022,West Nipissing,Row and apartment structures of three units and over,One bedroom units,700.0
121194,2022,West Nipissing,Row and apartment structures of three units and over,Two bedroom units,946.0
121201,2022,West Nipissing,Apartment structures of three units and over,One bedroom units,700.0
121202,2022,West Nipissing,Apartment structures of three units and over,Two bedroom units,905.0
121205,2022,West Nipissing,Apartment structures of six units and over,One bedroom units,694.0
121206,2022,West Nipissing,Apartment structures of six units and over,Two bedroom units,901.0
121208,2022,Windsor,Row and apartment structures of three units and over,Bachelor units,791.0
121209,2022,Windsor,Row and apartment structures of three units and over,One bedroom units,1017.0
121210,2022,Windsor,Row and apartment structures of three units and over,Two bedroom units,1194.0
121211,2022,Windsor,Row and apartment structures of three units and over,Three bedroom units,1504.0
121215,2022,Windsor,Row structures of three units and over,Three bedroom units,1639.0
121216,2022,Windsor,Apartment structures of three units and over,Bachelor units,791.0
121217,2022,Windsor,Apartment structures of three units and over,One bedroom units,1017.0
121218,2022,Windsor,Apartment structures of three units and over,Two bedroom units,1197.0
121219,2022,Windsor,Apartment structures of three units and over,Three bedroom units,1307.0
121220,2022,Windsor,Apartment structures of six units and over,Bachelor units,815.0
121221,2022,Windsor,Apartment structures of six units and over,One bedroom units,1036.0
121222,2022,Windsor,Apartment structures of six units and over,Two bedroom units,1240.0
121223,2022,Windsor,Apartment structures of six units and over,Three bedroom units,1354.0
121224,2022,Woodstock,Row and apartment structures of three units and over,Bachelor units,859.0
121225,2022,Woodstock,Row and apartment structures of three units and over,One bedroom units,1228.0
121226,2022,Woodstock,Row and apartment structures of three units and over,Two bedroom units,1432.0
121227,2022,Woodstock,Row and apartment structures of three units and over,Three bedroom units,1414.0
121230,2022,Woodstock,Row structures of three units and over,Two bedroom units,953.0
121231,2022,Woodstock,Row structures of three units and over,Three bedroom units,1368.0
121232,2022,Woodstock,Apartment structures of three units and over,Bachelor units,859.0
121233,2022,Woodstock,Apartment structures of three units and over,One bedroom units,1228.0
121234,2022,Woodstock,Apartment structures of three units and over,Two bedroom units,1471.0
121235,2022,Woodstock,Apartment structures of three units and over,Three bedroom units,1519.0
121236,2022,Woodstock,Apartment structures of six units and over,Bachelor units,859.0
121237,2022,Woodstock,Apartment structures of six units and over,One bedroom units,1275.0
121238,2022,Woodstock,Apartment structures of six units and over,Two bedroom units,1499.0
121239,2022,Woodstock,Apartment structures of six units and over,Three bedroom units,1811.0
122888,2023,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,918.0
122889,2023,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1108.0
122890,2023,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1250.0
122891,2023,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1201.0
122894,2023,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1071.0
122895,2023,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1106.0
122896,2023,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,918.0
122897,2023,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1108.0
122898,2023,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1252.0
122899,2023,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1205.0
122900,2023,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,918.0
122901,2023,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1167.0
122902,2023,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1292.0
122903,2023,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1277.0
122922,2023,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,760.0
